folio,fecha,producto_id,cantidad,precio_unitario,canal
DP-260630-9685,2026-06-30,1,2,86.00,WhatsApp
DP-260630-9685,2026-06-30,8,3,70.70,WhatsApp
DP-260630-4828,2026-06-30,4,1,80.80,Tienda
DP-260630-9343,2026-06-30,6,2,86.00,WhatsApp
DP-260630-9343,2026-06-30,8,3,70.70,WhatsApp
DP-260630-9343,2026-06-30,4,2,80.80,WhatsApp
DP-260630-9343,2026-06-30,7,1,70.70,WhatsApp
DP-260630-1410,2026-06-30,12,1,76.20,WhatsApp
DP-260630-1410,2026-06-30,4,2,80.80,WhatsApp
DP-260630-1410,2026-06-30,8,3,70.70,WhatsApp
DP-260630-1504,2026-06-30,13,1,76.20,WhatsApp
DP-260630-3345,2026-06-30,8,2,70.70,WhatsApp
DP-260630-5632,2026-06-30,6,3,86.00,WhatsApp
DP-260630-5632,2026-06-30,8,2,70.70,WhatsApp
DP-260630-5632,2026-06-30,4,1,80.80,WhatsApp
DP-260630-5632,2026-06-30,11,3,76.20,WhatsApp
DP-260630-3309,2026-06-30,12,3,76.20,WhatsApp
DP-260630-3309,2026-06-30,6,1,86.00,WhatsApp
DP-260630-3309,2026-06-30,1,1,86.00,WhatsApp
DP-260701-7481,2026-07-01,6,3,86.00,Tienda
DP-260701-4882,2026-07-01,4,1,80.80,WhatsApp
DP-260701-4882,2026-07-01,7,2,70.70,WhatsApp
DP-260702-6157,2026-07-02,1,2,86.00,WhatsApp
DP-260702-6157,2026-07-02,13,3,76.20,WhatsApp
DP-260702-2932,2026-07-02,8,1,70.70,WhatsApp
DP-260702-2932,2026-07-02,4,2,80.80,WhatsApp
DP-260703-3303,2026-07-03,9,3,80.80,WhatsApp
DP-260703-3303,2026-07-03,3,3,80.80,WhatsApp
DP-260703-3022,2026-07-03,12,1,76.20,WhatsApp
DP-260703-9873,2026-07-03,6,2,86.00,WhatsApp
DP-260703-9873,2026-07-03,1,1,86.00,WhatsApp
DP-260703-6047,2026-07-03,3,2,80.80,WhatsApp
DP-260703-6047,2026-07-03,2,1,86.00,WhatsApp
DP-260703-1097,2026-07-03,7,1,70.70,WhatsApp
DP-260703-7049,2026-07-03,7,2,70.70,Tienda
DP-260703-7049,2026-07-03,10,3,76.20,Tienda
DP-260703-7049,2026-07-03,1,3,86.00,Tienda
DP-260703-7049,2026-07-03,8,3,70.70,Tienda
DP-260703-6221,2026-07-03,12,1,76.20,Tienda
DP-260703-6221,2026-07-03,9,1,80.80,Tienda
DP-260703-6221,2026-07-03,4,2,80.80,Tienda
DP-260703-6221,2026-07-03,2,2,86.00,Tienda
DP-260704-1772,2026-07-04,7,1,70.70,Tienda
DP-260704-1772,2026-07-04,11,1,76.20,Tienda
DP-260704-7341,2026-07-04,7,1,70.70,Tienda
DP-260704-7341,2026-07-04,11,3,76.20,Tienda
DP-260704-7341,2026-07-04,13,1,76.20,Tienda
DP-260704-3269,2026-07-04,3,3,80.80,WhatsApp
DP-260704-3269,2026-07-04,2,3,86.00,WhatsApp
DP-260704-3269,2026-07-04,13,1,76.20,WhatsApp
DP-260704-8342,2026-07-04,2,2,86.00,Tienda
DP-260704-8342,2026-07-04,6,2,86.00,Tienda
DP-260704-7065,2026-07-04,1,3,86.00,WhatsApp
DP-260705-3546,2026-07-05,10,1,76.20,Tienda
DP-260705-8468,2026-07-05,2,2,86.00,WhatsApp
DP-260705-8468,2026-07-05,9,3,80.80,WhatsApp
DP-260705-8468,2026-07-05,6,1,86.00,WhatsApp
DP-260705-4531,2026-07-05,9,3,80.80,WhatsApp
DP-260705-6132,2026-07-05,1,2,86.00,WhatsApp
DP-260705-8497,2026-07-05,13,2,76.20,Tienda
DP-260705-8864,2026-07-05,1,1,86.00,WhatsApp
DP-260705-9645,2026-07-05,9,1,80.80,Tienda
DP-260705-9645,2026-07-05,3,3,80.80,Tienda
DP-260705-9645,2026-07-05,1,1,86.00, whatsapp 
DP-260705-9645,2026-07-05,13,3,76.20,Tienda
DP-260705-6807,2026-07-05,12,3,76.20,WhatsApp
DP-260705-6807,2026-07-05,2,1,86.00,WhatsApp
DP-260705-6807,2026-07-05,7,1,70.70,WhatsApp
DP-260705-6807,2026-07-05,5,1,72.30,WhatsApp
DP-260705-5673,2026-07-05,1,1,86.00,WhatsApp
DP-260705-5673,2026-07-05,7,2,70.70,WhatsApp
DP-260705-5673,2026-07-05,3,3,80.80,WhatsApp
DP-260705-5673,2026-07-05,9,3,80.80,WhatsApp
DP-260705-7050,2026-07-05,9,2,80.80,WhatsApp
DP-260705-8917,2026-07-05,9,3,80.80,Tienda
DP-260705-8917,2026-07-05,5,3,72.30,Tienda
DP-260705-8917,2026-07-05,6,3,86.00,Tienda
DP-260705-8917,2026-07-05,4,2,80.80,Tienda
DP-260705-1613,2026-07-05,13,2,76.20,Tienda
DP-260705-1613,2026-07-05,7,2,70.70,Tienda
DP-260705-1613,2026-07-05,11,1,76.20,Tienda
DP-260705-1613,2026-07-05,6,1,86.00,Tienda
DP-260706-8426,2026-07-06,7,2,70.70,Tienda
DP-260706-4849,2026-07-06,3,3,80.80,Tienda
DP-260706-4849,2026-07-06,10,2,76.20,Tienda
DP-260706-4849,2026-07-06,6,2,86.00,Tienda
DP-260706-4849,2026-07-06,7,2,70.70,Tienda
DP-260706-5408,2026-07-06,7,2,70.70,Tienda
DP-260706-2391,2026-07-06,3,1,80.80,Tienda
DP-260706-2391,2026-07-06,1,3,86.00,Tienda
DP-260706-2391,2026-07-06,6,2,86.00,Tienda
DP-260706-2391,2026-07-06,13,2,76.20,Tienda
DP-260706-3909,2026-07-06,4,3,80.80,Tienda
DP-260706-2463,2026-07-06,1,1,86.00,WhatsApp
DP-260706-2463,2026-07-06,10,3,76.20,WhatsApp
DP-260707-2609,2026-07-07,10,2,76.20,WhatsApp
DP-260707-2609,2026-07-07,5,3,72.30,WhatsApp
DP-260707-2609,2026-07-07,4,3,80.80,WhatsApp
DP-260707-1905,2026-07-07,1,1,86.00,WhatsApp
DP-260707-1905,2026-07-07,6,1,86.00,WhatsApp
DP-260707-1905,2026-07-07,4,1,80.80,WhatsApp
DP-260707-2006,2026-07-07,7,2,70.70,WhatsApp
DP-260707-2006,2026-07-07,3,3,80.80,WhatsApp
DP-260707-2006,2026-07-07,6,3,86.00,WhatsApp
DP-260707-8878,2026-07-07,12,2,76.20,WhatsApp
DP-260707-8878,2026-07-07,13,1,76.20,WhatsApp
DP-260707-8878,2026-07-07,8,2,70.70,WhatsApp
DP-260707-8878,2026-07-07,3,1,80.80,WhatsApp
DP-260708-9235,2026-07-08,13,1,76.20,WhatsApp
DP-260708-3586,2026-07-08,7,2,70.70,Tienda
DP-260708-3586,2026-07-08,9,3,80.80,Tienda
DP-260708-2894,2026-07-08,4,1,80.80,Tienda
DP-260708-2894,2026-07-08,8,3,70.70,Tienda
DP-260708-3496,2026-07-08,11,1,76.20,WhatsApp
DP-260708-3496,2026-07-08,1,3,86.00,WhatsApp
DP-260708-7293,2026-07-08,7,2,70.70,WhatsApp
DP-260708-7293,2026-07-08,11,1,76.20,WhatsApp
DP-260708-7293,2026-07-08,5,2,72.30,WhatsApp
DP-260708-2207,2026-07-08,1,3,86.00,Tienda
DP-260708-2207,2026-07-08,6,1,86.00,Tienda
DP-260708-2630,2026-07-08,8,2,70.70,WhatsApp
DP-260708-2630,2026-07-08,6,3,86.00,WhatsApp
DP-260708-1640,2026-07-08,1,1,86.00,Tienda
DP-260708-1640,2026-07-08,12,1,76.20,Tienda
DP-260709-7154,2026-07-09,8,1,70.70,Tienda
DP-260709-7154,2026-07-09,13,2,76.20,Tienda
DP-260709-8935,2026-07-09,8,2,70.70,Tienda
DP-260709-8935,2026-07-09,2,3,86.00,Tienda
DP-260709-1232,2026-07-09,1,3,86.00,Tienda
DP-260709-1232,2026-07-09,4,2,80.80,Tienda
DP-260709-6745,2026-07-09,6,2,86.00,Tienda
DP-260709-6745,2026-07-09,3,2,80.80,Tienda
DP-260709-6745,2026-07-09,10,3,76.20,Tienda
DP-260709-6745,2026-07-09,13,1,76.20,Tienda
DP-260709-8305,2026-07-09,10,1,76.20,Tienda
DP-260709-8305,2026-07-09,6,2,86.00,Tienda
DP-260709-8305,2026-07-09,1,3,86.00,Tienda
DP-260710-7817,2026-07-10,3,3,80.80,WhatsApp
DP-260710-7817,2026-07-10,11,3,76.20,WhatsApp
DP-260710-7817,2026-07-10,6,2,86.00,WhatsApp
DP-260710-1324,2026-07-10,11,1,76.20,Tienda
DP-260710-1324,2026-07-10,1,1,86.00,Tienda
DP-260710-9428,2026-07-10,10,3,76.20,WhatsApp
DP-260710-9269,2026-07-10,8,2,70.70,WhatsApp
DP-260710-9269,2026-07-10,11,2,76.20,WhatsApp
DP-260710-9269,2026-07-10,3,1,80.80,WhatsApp
DP-260710-6058,2026-07-10,12,1,76.20,Tienda
DP-260710-6058,2026-07-10,3,1,80.80,Tienda
DP-260711-5284,2026-07-11,9,2,80.80,WhatsApp
DP-260711-5284,2026-07-11,8,3,70.70,WhatsApp
DP-260711-5284,2026-07-11,7,3,70.70,WhatsApp
DP-260711-5284,2026-07-11,13,2,76.20,WhatsApp
DP-260711-8763,2026-07-11,11,2,76.20,WhatsApp
DP-260711-8763,2026-07-11,1,1,86.00,WhatsApp
DP-260711-8763,2026-07-11,12,1,76.20,WhatsApp
DP-260711-3714,2026-07-11,12,3,76.20,WhatsApp
DP-260711-3714,2026-07-11,8,3,70.70,WhatsApp
DP-260711-2558,2026-07-11,4,2,80.80,WhatsApp
DP-260711-2558,2026-07-11,8,2,70.70,WhatsApp
DP-260711-2558,2026-07-11,3,2,80.80,WhatsApp
DP-260711-2481,2026-07-11,1,3,86.00,WhatsApp
DP-260711-2481,2026-07-11,7,3,70.70,WhatsApp
DP-260711-2481,2026-07-11,3,3,80.80,WhatsApp
DP-260711-6031,2026-07-11,11,2,76.20,WhatsApp
DP-260711-1973,2026-07-11,5,1,72.30,WhatsApp
DP-260711-1973,2026-07-11,3,2,80.80,WhatsApp
DP-260711-1973,2026-07-11,6,2,86.00,WhatsApp
DP-260711-1973,2026-07-11,8,3,70.70,WhatsApp
DP-260712-9506,2026-07-12,10,1,76.20,Tienda
DP-260712-9506,2026-07-12,7,2,70.70,Tienda
DP-260712-1306,2026-07-12,3,1,80.80,Tienda
DP-260712-1306,2026-07-12,7,3,70.70,Tienda
DP-260712-1306,2026-07-12,8,3,70.70,Tienda
DP-260712-1368,2026-07-12,8,3,70.70,Tienda
DP-260712-1368,2026-07-12,5,3,72.30,Tienda
DP-260712-1368,2026-07-12,1,3,86.00,Tienda
DP-260712-1368,2026-07-12,11,2,76.20,Tienda
DP-260712-4650,2026-07-12,13,2,76.20,WhatsApp
DP-260712-4650,2026-07-12,4,2,80.80,WhatsApp
DP-260712-4650,2026-07-12,6,1,86.00,WhatsApp
DP-260712-4650,2026-07-12,2,2,86.00,WhatsApp
DP-260712-1069,2026-07-12,1,2,86.00,Tienda
DP-260712-1069,2026-07-12,5,2,72.30,Tienda
DP-260712-6232,2026-07-12,13,2,76.20,WhatsApp
DP-260712-5598,12/07/2026,6,1,86.00,Tienda
DP-260712-4706,2026-07-12,11,1,76.20,WhatsApp
DP-260713-1766,2026-07-13,6,2,86.00,WhatsApp
DP-260713-1766,2026-07-13,9,1,80.80,WhatsApp
DP-260713-8265,2026-07-13,2,2,86.00,WhatsApp
DP-260713-6091,2026-07-13,8,3,70.70,WhatsApp
DP-260713-4450,2026-07-13,3,2,80.80,WhatsApp
DP-260713-4450,2026-07-13,5,3,72.30,WhatsApp
DP-260713-6132,2026-07-13,8,2,70.70,WhatsApp
DP-260713-6132,2026-07-13,7,1,70.70,WhatsApp
DP-260713-6132,2026-07-13,5,1,72.30,WhatsApp
DP-260713-6132,2026-07-13,6,2,86.00,WhatsApp
DP-260714-7012,2026-07-14,12,3,76.20,WhatsApp
DP-260714-7012,2026-07-14,7,1,70.70,WhatsApp
DP-260714-1722,2026-07-14,13,2,76.20,Tienda
DP-260714-8343,2026-07-14,6,2,86.00,WhatsApp
DP-260714-8343,2026-07-14,13,2,76.20,WhatsApp
DP-260715-8263,2026-07-15,4,2,80.80,WhatsApp
DP-260715-8263,2026-07-15,9,1,80.80,WhatsApp
DP-260715-5351,2026-07-15,1,1,86.00,WhatsApp
DP-260715-5351,2026-07-15,11,1,76.20,WhatsApp
DP-260715-5351,2026-07-15,4,1,80.80,WhatsApp
DP-260715-5351,2026-07-15,10,2,76.20,WhatsApp
DP-260716-9323,2026-07-16,7,3,70.70,Tienda
DP-260716-9323,2026-07-16,3,2,80.80,Tienda
DP-260716-9224,2026-07-16,13,3,76.20,WhatsApp
DP-260716-1713,2026-07-16,13,3,76.20,Tienda
DP-260716-1713,2026-07-16,5,3,72.30,Tienda
DP-260716-7151,2026-07-16,1,2,86.00,WhatsApp
DP-260716-7151,2026-07-16,12,2,76.20,WhatsApp
DP-260716-7151,2026-07-16,8,1,70.70,WhatsApp
DP-260716-7151,2026-07-16,7,3,70.70,WhatsApp
DP-260716-3646,2026-07-16,1,3,86.00,WhatsApp
DP-260716-3646,2026-07-16,4,1,80.80,WhatsApp
DP-260716-3646,2026-07-16,8,1,70.70,WhatsApp
DP-260717-9738,2026-07-17,8,1,70.70,Tienda
DP-260717-9738,2026-07-17,5,1,72.30,Tienda
DP-260717-4660,2026-07-17,2,2,86.00,WhatsApp
DP-260717-4660,2026-07-17,10,1,76.20,WhatsApp
DP-260717-8861,2026-07-17,11,2,76.20,WhatsApp
DP-260717-3372,2026-07-17,4,2,80.80,WhatsApp
DP-260717-3372,2026-07-17,10,2,76.20,WhatsApp
DP-260717-3372,2026-07-17,2,2,86.00,WhatsApp
DP-260717-2342,2026-07-17,13,1,76.20,WhatsApp
DP-260717-5931,2026-07-17,7,1,70.70,Tienda
DP-260717-9330,2026-07-17,7,1,70.70,Tienda
DP-260717-9330,2026-07-17,9,2,80.80,Tienda
DP-260717-9330,2026-07-17,1,3,86.00,Tienda
DP-260718-9729,2026-07-18,8,3,70.70,WhatsApp
DP-260718-9729,2026-07-18,3,3,80.80,WhatsApp
DP-260718-3735,2026-07-18,5,1,72.30,WhatsApp
DP-260718-2736,2026-07-18,5,3,72.30,Tienda
DP-260718-2736,2026-07-18,1,1,86.00,Tienda
DP-260718-2736,2026-07-18,8,2,70.70,Tienda
DP-260718-3171,2026-07-18,3,2,80.80,WhatsApp
DP-260718-3171,2026-07-18,6,2,86.00,WhatsApp
DP-260718-2471,2026-07-18,9,1,80.80,WhatsApp
DP-260718-8367,2026-07-18,3,1,80.80,WhatsApp
DP-260718-8367,2026-07-18,7,2,70.70,WhatsApp
DP-260718-8367,2026-07-18,9,2,80.80,WhatsApp
DP-260718-8580,2026-07-18,1,2,86.00,WhatsApp
DP-260718-8580,2026-07-18,8,1,70.70,WhatsApp
DP-260719-9326,2026-07-19,10,1,76.20,WhatsApp
DP-260719-9326,2026-07-19,1,3,86.00,WhatsApp
DP-260719-7496,2026-07-19,4,3,80.80,WhatsApp
DP-260719-7496,2026-07-19,13,1,76.20,WhatsApp
DP-260719-7496,2026-07-19,12,3,76.20,WhatsApp
DP-260719-4242,2026-07-19,1,2,86.00,WhatsApp
DP-260719-9156,2026-07-19,7,3,70.70,WhatsApp
DP-260719-9156,2026-07-19,5,2,72.30,WhatsApp
DP-260719-9156,2026-07-19,9,2,80.80,WhatsApp
DP-260719-9156,2026-07-19,3,3,80.80,WhatsApp
DP-260719-1315,2026-07-19,7,3,70.70,WhatsApp
DP-260719-5511,2026-07-19,7,3,70.70,WhatsApp
DP-260719-5511,2026-07-19,11,2,76.20,WhatsApp
DP-260719-5511,2026-07-19,5,3,72.30,WhatsApp
DP-260719-5511,2026-07-19,12,2,76.20,WhatsApp
DP-260719-5140,2026-07-19,1,2,86.00,WhatsApp
DP-260719-5140,2026-07-19,4,2,80.80,WhatsApp
DP-260719-5140,2026-07-19,8,1,70.70,WhatsApp
DP-260719-5140,2026-07-19,12,1,76.20,WhatsApp
DP-260720-5377,2026-07-20,4,1,80.80,Tienda
DP-260720-5993,2026-07-20,1,2,86.00,WhatsApp
DP-260721-7868,2026-07-21,7,1,70.70,WhatsApp
DP-260721-5569,2026-07-21,2,2,86.00,WhatsApp
DP-260721-5569,2026-07-21,4,3,80.80,WhatsApp
DP-260721-2826,2026-07-21,1,2,86.00,WhatsApp
DP-260721-2826,2026-07-21,8,1,70.70,WhatsApp
DP-260721-9175,2026-07-21,8,3,70.70,WhatsApp
DP-260721-9175,2026-07-21,5,2,72.30,WhatsApp
DP-260721-9175,2026-07-21,10,3,76.20,WhatsApp
DP-260721-8502,2026-07-21,11,2,76.20,Tienda
DP-260721-8502,2026-07-21,6,1,86.00,Tienda
DP-260721-8502,2026-07-21,8,2,70.70,Tienda
DP-260721-5520,2026-07-21,11,1,76.20,WhatsApp
DP-260721-5520,2026-07-21,10,3,76.20,WhatsApp
DP-260721-5520,2026-07-21,6,3,86.00,WhatsApp
